case_id,dice_wt,dice_tc,dice_et,inference_time_sec,peak_gpu_memory_mb
BraTS2021_00658,0.9658619229140195,0.96597156746299,0.8944809242789461,1.8863833000068553,4470.39697265625
BraTS2021_00663,0.9726838586437441,0.9847826086956522,0.9752904405260364,1.8940184999955818,4470.39697265625
BraTS2021_00679,0.9674966930186579,0.9076534614630319,0.8407526115859449,1.8864938999759033,4470.39697265625
BraTS2021_00715,0.9595503533159123,0.9768621155365288,0.9695070713400652,1.8932070000446402,4470.39697265625
BraTS2021_00724,0.9503988677303139,0.9639499803244284,0.9188225476064031,1.8886080000083894,4470.39697265625
BraTS2021_00734,0.9390181515770806,0.9485421349677378,0.8703205514287626,1.889484400046058,4470.39697265625
BraTS2021_00774,0.977962580713454,0.9660710700662517,0.9486795866532132,1.8917002000380307,4470.39697265625
BraTS2021_00778,0.9136060504853533,0.9735858307286879,0.9523428754197985,1.8909938000142574,4470.39697265625
BraTS2021_00780,0.9769663907099903,0.9878847747839811,0.9795300702941943,1.8894109000102617,4470.39697265625
BraTS2021_00787,0.9763801127844159,0.9771002048361628,0.9605245478730551,1.8906307999859564,4470.39697265625
BraTS2021_00789,0.9786666119130238,0.9858126347067316,0.9654035750138595,1.885511900007259,4470.39697265625
BraTS2021_00795,0.9295294350480308,0.8890453558645778,0.8653694035753836,1.8942604000330903,4470.39697265625
BraTS2021_00807,0.9194104775389368,0.953340922026181,0.9137762295761798,1.8854137000162154,4470.39697265625
BraTS2021_00816,0.962650453548593,0.9848430464008353,0.9755890640622948,1.8758574999519624,4470.39697265625
BraTS2021_01008,0.9358605600216339,0.9761982393218128,0.9697014158902502,1.8603772000060417,4470.39697265625
BraTS2021_01016,0.9373089505014212,0.9785117309435102,0.9549489626237561,1.869581900013145,4470.39697265625
BraTS2021_01060,0.941906414367602,0.9830447372399437,0.9603441950438582,1.879199700022582,4470.39697265625
BraTS2021_01062,0.9555403871250676,0.9622365909710591,0.9200798488575197,1.8861132999882102,4470.39697265625
BraTS2021_01080,0.9350179276539736,0.9654627163781625,0.9281174419258676,1.87301879998995,4470.39697265625
BraTS2021_01105,0.9590370453440993,0.9744038405455728,0.9430226041472072,1.8734472999931313,4470.39697265625
BraTS2021_01112,0.9725252805578201,0.8679441488556169,0.7887714123426772,1.8768803999992087,4470.39697265625
BraTS2021_01120,0.9523238561865985,0.9794015452506267,0.9609465694299747,1.867683799995575,4470.39697265625
BraTS2021_01143,0.9316717911888144,0.9182390914850038,0.8483857153053699,1.8852653999929316,4470.39697265625
BraTS2021_01151,0.9206229534854499,0.8845880401295521,0.903180051629741,1.9015957999508828,4470.39697265625
BraTS2021_01156,0.8938478282028367,0.974302970133201,0.8828422388270125,1.8972172000212595,4470.39697265625
BraTS2021_01157,0.9247179716296213,0.9492704538381268,0.8571569562785801,1.9036110999877565,4470.39697265625
BraTS2021_01163,0.9087341337907375,0.8735059286655343,0.8275583228884487,1.8963459000224248,4470.39697265625
BraTS2021_01174,0.9509222917755368,0.9534926159100092,0.8685243995169298,1.8974103999789804,4470.39697265625
BraTS2021_01191,0.9848130423274746,0.9174420690569599,0.7989099193084801,1.9005182000109926,4470.39697265625
BraTS2021_01193,0.9319994652644713,0.9506655716109517,0.8967563801512141,1.9041345999576151,4470.39697265625
BraTS2021_01194,0.9735876230330329,0.9707442158633953,0.71139203292665,1.901113500003703,4470.39697265625
BraTS2021_01197,0.9762822334304184,0.9756228534350633,0.9547381213504461,1.9074838999658823,4470.39697265625
BraTS2021_01204,0.708005859499395,0.9247142294048089,0.8578074120018607,1.9007567999651656,4470.39697265625
BraTS2021_01226,0.8788635220276454,0.9081831831831831,0.8729359409766951,1.9010310999583453,4470.39697265625
BraTS2021_01233,0.9077218149215789,0.9310708664141283,0.896037504185735,1.9004279000218958,4470.39697265625
BraTS2021_01237,0.865586964815339,0.8618991892547259,0.7833552609385015,1.90598380001029,4470.39697265625
BraTS2021_01275,0.9399932125998828,0.9389793823015234,0.8311567164179104,1.8993453999864869,4470.39697265625
BraTS2021_01280,0.9442267175869564,0.9859198152843437,0.9691253744027692,1.8967856999952346,4470.39697265625
BraTS2021_01281,0.9705981903107159,0.9320181692972266,0.8459599855989302,1.8999093000311404,4470.39697265625
BraTS2021_01293,0.875668319934108,0.8610369174068783,0.5697397965922599,1.9011489000404254,4470.39697265625
