case_id,dice_wt,dice_tc,dice_et,inference_time_sec
BraTS2021_00606,0.9372052860383405,0.9653603034134007,0.9387856816523179,1.86245370000006
BraTS2021_00610,0.9454860068357,0.952017758551995,0.9263916360553829,1.8652870999999323
BraTS2021_00613,0.8718537324791497,0.9471871636826142,0.899482120838471,1.8693975000001046
BraTS2021_00620,0.9710387208846218,0.984482898692014,0.9807252531852336,1.865836400000262
BraTS2021_00628,0.9535721556859725,0.9463887295212596,0.9329094212302103,1.8665743000001385
BraTS2021_00631,0.9700576805839963,0.9874622356495468,0.9566704025226526,1.8686412000001837
BraTS2021_00638,0.8822215906784134,0.9460419292015122,0.9409035550658238,1.8671461000003546
BraTS2021_00646,0.9538967088169744,0.9735355714920353,0.9777634258138012,1.8703341000000364
BraTS2021_00658,0.9659025099933612,0.960726564714291,0.8904366123093109,1.8673387000003459
BraTS2021_00663,0.9801171285784069,0.9863013698630136,0.9764752318926386,1.8651519000000008
BraTS2021_00679,0.9705855748900422,0.917122028838919,0.8404975306383757,1.867199299999811
BraTS2021_00715,0.9539509132509234,0.9759254995266968,0.9688450824941076,1.8680453999995734
BraTS2021_00724,0.9512737467975056,0.9639898303598825,0.9177026923956982,1.8678020000002107
BraTS2021_00734,0.9528584570195872,0.9411813526545991,0.8723133523277364,1.868134800000007
BraTS2021_00774,0.9748255647982792,0.9585197234648231,0.9484514435695538,1.9040297999999893
BraTS2021_00778,0.9148738520004223,0.9736454109841504,0.9498701817455563,1.8682203000003028
BraTS2021_00780,0.978582404917403,0.9875560206565507,0.9783034897399033,1.864624399999684
BraTS2021_00787,0.9777706114267467,0.9773799443570824,0.9666377179504309,1.8656303999996453
BraTS2021_00789,0.9760650382541847,0.9850811943425878,0.9615930432682146,1.865031799999997
BraTS2021_00795,0.9263041338582677,0.8886985289773734,0.8642676969251892,1.8650809000000663
BraTS2021_00807,0.9144809076491399,0.9451096235061551,0.9051038832651127,1.8656946000000971
BraTS2021_00816,0.9679015031440678,0.9874547430878495,0.9772221997655524,1.866642899999988
BraTS2021_01008,0.9342166264060708,0.9763573252996267,0.9683483880443563,1.8691189999999551
BraTS2021_01016,0.9409186601840336,0.9785031927449537,0.9552457813646368,1.86840919999986
BraTS2021_01060,0.9479606317235065,0.9836926398086292,0.960771157631061,1.8704078999999183
BraTS2021_01062,0.958570164119736,0.9667637569017428,0.9245686941191286,1.8659853999997722
BraTS2021_01080,0.9317278111167978,0.9676370499979334,0.934243483526465,1.8662710000003244
BraTS2021_01105,0.9579457921522211,0.9720767888307156,0.9414237668161435,1.861722799999825
BraTS2021_01112,0.9829283883718339,0.882507987634055,0.7914193779048981,1.8614747999999963
BraTS2021_01120,0.9530186305430605,0.9829006627366262,0.9595170881134002,1.8639938999999686
BraTS2021_01143,0.937589469541859,0.9114130328843493,0.8409768285790773,1.8635067000000163
BraTS2021_01151,0.934389978421525,0.9142270714054229,0.9234121863799283,1.8662353999998231
BraTS2021_01156,0.9027586699780236,0.9739166946590527,0.886873993729345,1.8630166000002646
BraTS2021_01157,0.9246065981089102,0.9542995470300207,0.8571901812038295,1.8657554000001255
